"","Plot","TreeID","Species","Sector","Year","Status","DBH","Height","Comments","Conk","BlindConk","Scar","Fork.Crook","Frost.Crack","Mistletoe","R.Branch","DBT","Crown.Class","L.Crown"
"171","10","607","Bl","3","1992","Live",10.4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,5
"172","10","607","Bl","3","1994","Live",10.9,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,5
"173","10","607","Bl","3","1997","Live",11.5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,5
"174","10","607","Bl","3","2009","Live",14,NA,"Live",NA,NA,NA,1,NA,NA,NA,NA,3,5
"175","10","607","Bl","3","2019","Live",16.4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,5
"176","10","610","Bl","3","1992","Live",8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5
"177","10","610","Bl","3","1994","Live",8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5
"178","10","610","Bl","3","1997","Live",9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5
"179","10","610","Bl","3","2009","Live",9.5,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,4,5
"180","10","610","Bl","3","2019","Live",10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5
"181","10","611","Bl","3","1992","Live",12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6
"182","10","611","Bl","3","1994","Live",13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6
"183","10","611","Bl","3","1997","Live",13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6
"184","10","611","Bl","3","2009","Live",15.1,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,3,6
"185","10","611","Bl","3","2019","Live",15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6
"186","10","613","Bl","3","1992","Live",7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5
"187","10","613","Bl","3","1994","Live",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5
"188","10","613","Bl","3","1997","Live",8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5
"189","10","613","Bl","3","2009","Live",10.4,NA,"Live",NA,NA,NA,NA,NA,NA,NA,NA,4,5
"190","10","613","Bl","3","2019","Live",12,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5
"191","10","617","Bl","3","1992","Live",26.7,NA,"LS",NA,NA,1,NA,NA,NA,NA,NA,2,7
"192","10","617","Bl","3","1994","Live",27.1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,7
"193","10","617","Bl","3","1997","Live",27.8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,7
"194","10","617","Bl","3","2009","Live",29.7,NA,"Live",NA,NA,1,NA,NA,NA,NA,NA,2,7
"195","10","617","Bl","3","2019","Live",31.5,25.6,"scar in 1",NA,NA,1,NA,NA,NA,NA,NA,2,7
